,name,description,closing_date,description2,beds
0,Neighbourhood Better Living — Project #24-013,The development of a 160-bed long-term care home in Belleville,"June 17, 2023","The Ministry of Long-Term Care is reviewing a proposal 2748763 Ontario Inc. (the “Licensee”) for issuing a long-term care home licence for Neighbourhood Better Living (the “Home”), a 160-bed long-term care home proposed to be developed at 645 Sidney Street, Belleville, Ontario.",160
0,Project Iris — Project #24-015,The licence transfer of 16 homes from an existing licensee to a new licensee.,"June 8, 2023",The Ministry of Long-Term Care is reviewing a licence transfer request for 16 long-term care homes currently operated by Chartwell Master Care LP to a newly formed limited partnership held at by Axium Infrastructure Inc. (Axium) and by AgeCare Health Services Inc. (AgeCare). AgeCare would be a new operator and licensee in Ontario.,16
0,Delhi Long Term Care Centre — Project #24-021,The redevelopment of a 60-bed long-term care home in Delhi,"June 7, 2023","The Ministry of Long-Term Care is reviewing a proposal from Delhi Nursing Home Ltd. (the “Licensee”) for issuing a long-term care home licence for Delhi Long Term Care Centre (the “Home”), a 60-bed long-term care home located at 750 Gibraltar Street, Delhi, Ontario.",60
0,Finlandia Hoivakoti Nursing Home — Project #24-020,The redevelopment of a 112-bed long-term care home in Greater Sudbury,"May 27, 2023","The Ministry of Long-Term Care is reviewing a proposal from Finlandia Nursing Home Limited (the “Licensee”) for issuing a long-term care home licence for Finlandia Hoivakoti Nursing Home (the “Home”), a 112-bed long-term care home located at 233 Fourth Avenue, Greater Sudbury, Ontario.",112
0,Mohawks Bay of Quinte — Project #23-064,The development of a new 128-bed long-term care home in Deseronto,"May 27, 2023","The Ministry of Long-Term Care is reviewing a proposal from Mohawks of the Bay of Quinte Representated by Tyendinaga Mohawk Council (the “Licensee”) for issuing a long-term care home licence for Mohawks Bay of Quinte (the “Home”), a 128-bed long-term care home proposed to be developed at 301 Bayshore Road in Deseronto, Ontario.",128
0,Chateau Park Long Term Care Home — Project #23-067,The redevelopment of a 59-bed long-term care home in Windsor,"May 25, 2023","The Ministry of Long-Term Care is reviewing a proposal from DTOC Long Term Care LP, by its general partner, DTOC Long Term Care MGP (a general partnership) by its partners, DTOC Long Term Care GP Inc. and Arch Venture Holdings Inc. (the “Licensee”) for issuing a long-term care home licence for Chateau Park Long Term Care Home (the “Home”), a 59-bed long-term care home currently located at 2990 B Riverside Drive West, Windsor, Ontario.",59
0,Groves Park Lodge — Project #24-018,The redevelopment of a 100-bed long-term care home in Renfrew,"May 22, 2023","The Ministry of Long-Term Care is reviewing a proposal from GEM Health Care Group Limited (the “Licensee”) for issuing a long-term care home licence for Groves Park Lodge (the “Home”), a 96-bed long-term care home located at 470 Raglan Street North, Renfrew, Ontario.",100
0,IOOF Seniors Home — Project #24-017,The redevelopment of a 162-bed long-term care home in Barrie,"May 17, 2023","The Ministry of Long-Term Care is reviewing a proposal from IOOF Seniors Homes Inc. (the “Licensee”) for issuing a long-term care home licence for IOOF Seniors Home (the “Home”), a 162-bed long-term care home located at 10 Brooks Street, Barrie, Ontario.",162
0,peopleCare - Tillsonburg — Project #24-016,The development of a 160-bed long-term care home in Tillsonburg,"May 17, 2023","The Ministry of Long-Term Care is reviewing a proposal from peopleCare Communities Inc. (the “Licensee”) for issuing a long-term care home licence for peopleCare - Tillsonburg (the “Home”), a 160-bed long-term care home proposed to be developed at 25 Maple Lane, Tillsonburg, Ontario.",160
0,Trillium Villa Nursing Home — Project #24-011,The development of a 160-bed long-term care home in Sarnia,"May 17, 2023","The Ministry of Long-Term Care is reviewing a proposal from S & R Nursing Homes Ltd. (the “Licensee”) for issuing a long-term care home licence for Trillium Villa Nursing Home (the “Home”), a 160-bed long-term care home located at 1221 Michigan Ave, Sarnia, Ontario.",160
